Name;Kinds;Description;Source
R07;Class, <<Requirement>>;Visitor can browse events.;Requirements;
viewEventPhotos;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
readContactMessage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
V!{browseProjects,viewProject}SGW!{projectsView,projectView};Association, <<connection>>;enter description here;pdProjectManagement;
R11;Class, <<Requirement>>;Admin can delete projects.;Requirements;
A!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity,addProject,editProject,deleteProject,addExecutive,editExecutive,deleteExecutive,uploadImages,editImages,deleteImages,addSponsor,editSponsor,deleteSponsor,addVideo,editVideo,deleteVideo,browseContactMessages,readContactMessage,replyToContactMessage}SG!{feedbackAdmin,messages};Association, <<connection>>;A;SG_env;
SGW!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity,browseEvents,viewEvent}SGE!{showEventActivityConfirmation,showEventsView,showEventView};Association, <<connection>>;enter description here;pdEventManagement;
browseEventsPhotos;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
projectsView;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
showEventActivityConfirmation;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
feedbackActivity;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
SGW!{feedbackProject};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
Message;Class, <<LexicalDomain>>;enter description here;SG_env;
deletingEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
V!{browseProjects,viewProject};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
getCurrent;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
getEventsImage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{addingSponsor,editingSponsor,deletingSponsor,getSponsors}S!{sponsors};Association, <<connection>>;enter description here;SG_env;
browseContactMessages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
contactView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
V!{browseEvents,ViewEvent};Interface, <<generated_interface>>;enter description here;pdEventManagement;
showProjectsView;Phenomenon, <<Phenomenon>>;enter description here;pdProjectManagement;
editActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
R08;Class, <<Requirement>>;Visitor can view and event.;Requirements;
getPast;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{uploadingImages,editingImages,deletingImages,getEventsImage,getEventImages};Interface, <<generated_interface>>;enter description here;SG_env;
editingEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
Ex!{executive};Interface, <<generated_interface>>;enter description here;SG_env;
V!{browseEvents,ViewEvent,browseProjects,viewProject,browseEventsPhotos,viewEventPhotos,browseVideos,browseCurrentExecutive,browsePastExecutive,browseSponsors,contact};Interface, <<generated_interface>>;enter description here;SG_env;
getMessage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{addingEvent,editingEvent,deletingEvent,addingActivity,editingActivity,deletingActivity,getEvents,getEvent};Interface, <<generated_interface>>;enter description here;SG_env;
sponsorsView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
eventsImagesView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SGW!{eventsView,eventView};Interface, <<generated_interface>>;enter description here;pdEventManagement;
deletingSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
A!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity}SGW!{feedbackEvent,feedbackActivity};Association, <<connection>>;enter description here;pdEventManagement;
browseEvents;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
SGE!{addingEvent,editingEvent,deletingEvent,addingActivity,editingActivity,deletingActivity,getEvents,getEvent};Interface, <<generated_interface>>;enter description here;pdEventManagement;
getEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
replyingMessage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
deletingExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{feedbackAdmin,messages};Interface, <<generated_interface>>;enter description here;SG_env;
SGE!{showEventActivityConfirmation,showEventsView,showEventView};Interface, <<generated_interface>>;enter description here;pdEventManagement;
I!{eventImages,eventsImage};Interface, <<generated_interface>>;enter description here;SG_env;
addVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
eventsView;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
addingActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
editingImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
Video;Class, <<LexicalDomain>>;enter description here;SG_env;
SG!{addingVideo,editingVideo,deletingVideo,getVideos};Interface, <<generated_interface>>;enter description here;SG_env;
addingProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
A!{addProject,editProject,deleteProject};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
getSponsors;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
eventImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
Visitor;Class, <<BiddableDomain>>;V;SG_env;
deletingActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
getEventImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
editSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
R10;Class, <<Requirement>>;Admin can edit projects.;Requirements;
showEventView;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
deleteVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
message;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
R04;Class, <<Requirement>>;Admin can add an activity to an event.;Requirements;
SG!{addingVideo,editingVideo,deletingVideo,getVideos}Vid!{videos};Association, <<connection>>;enter description here;SG_env;
S!{sponsors};Interface, <<generated_interface>>;enter description here;SG_env;
browseVideos;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
deleteEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
videosView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
feedbackEvent;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
getEvents;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
editImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
viewProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
addActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
eventView;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
browsePastExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{sendMessage,getMessages,getMessage,replyingMessage}M!{messages,message};Association, <<connection>>;enter description here;SG_env;
editingActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
projectView;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
SG!{eventsView,eventView,projectsView,projectView,eventsImagesView,eventImagesView,videosView,executiveView,sponsorsView,contactView,contactFeedback};Interface, <<generated_interface>>;enter description here;SG_env;
feedbackAdmin;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
deletingImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
addExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
viewEvent;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
deleteSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
Administrator;Class, <<BiddableDomain>>;enter description here;SG_env;
SG!{addingExecutive,editingExecutive,deletingExecutive,getCurrent,getPast};Interface, <<generated_interface>>;enter description here;SG_env;
getProjects;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
SG!{addingEvent,editingEvent,deletingEvent,addingActivity,editingActivity,deletingActivity,getEvents,getEvent}E!{events,event};Association, <<connection>>;SG;SG_env;
R13;Class, <<Requirement>>;Visitor can view project details.;Requirements;
R02;Class, <<Requirement>>;Admin can edit events.;Requirements;
(R01-R08);Class, <<Requirement>>;enter description here;Requirements;
addProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
SGW!{feedbackEvent,feedbackActivity};Interface, <<generated_interface>>;enter description here;pdEventManagement;
showProjectFeedback;Phenomenon, <<Phenomenon>>;enter description here;pdProjectManagement;
addingSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
sendMessage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
editingExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
contact;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
ViewEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
Executive;Class, <<LexicalDomain>>;enter description here;SG_env;
executiveView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
Image;Class, <<LexicalDomain>>;enter description here;SG_env;
replyToContactMessage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SGP!{showProjectFeedback,showProjectsView,showProjectView};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
feedbackProject;Phenomenon, <<Phenomenon>>;enter description here;pdProjectManagement;
A!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity};Interface, <<generated_interface>>;enter description here;pdEventManagement;
P!{projects,project};Interface, <<generated_interface>>;enter description here;SG_env;
SGE!{addingEvent,editingEvent,deletingEvent,addingActivity,editingActivity,deletingActivity,getEvents,getEvent}E!{events,event};Association, <<connection>>;enter description here;pdEventManagement;
addingEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
R01;Class, <<Requirement>>;Admin can add events.;Requirements;
editingProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
showProjectView;Phenomenon, <<Phenomenon>>;enter description here;pdProjectManagement;
V!{browseEvents,ViewEvent}SGW!{eventsView,eventView};Association, <<connection>>;enter description here;pdEventManagement;
eventImagesView;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
uploadImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
A!{addProject,editProject,deleteProject}SGW!{feedbackProject};Association, <<connection>>;enter description here;pdProjectManagement;
SG;Class, <<Machine>>;enter description here;SG_env;
E!{events,event};Interface, <<generated_interface>>;enter description here;SG_env;
R06;Class, <<Requirement>>;Admin can delete an activity.;Requirements;
R03;Class, <<Requirement>>;Admin can delete events.;Requirements;
sponsors;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
addingExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{uploadingImages,editingImages,deletingImages,getEventsImage,getEventImages}I!{eventImages,eventsImage};Association, <<connection>>;enter description here;SG_env;
V!{browseEvents,ViewEvent,browseProjects,viewProject,browseEventsPhotos,viewEventPhotos,browseVideos,browseCurrentExecutive,browsePastExecutive,browseSponsors,contact}SG!{eventsView,eventView,projectsView,projectView,eventsImagesView,eventImagesView,videosView,executiveView,sponsorsView,contactView,contactFeedback};Association, <<connection>>;V;SG_env;
addingVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
uploadingImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
deletingVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{addingSponsor,editingSponsor,deletingSponsor,getSponsors};Interface, <<generated_interface>>;enter description here;SG_env;
SG!{addingProject,editingProject,deletingProject,getProjects,getProject}P!{projects,project};Association, <<connection>>;enter description here;SG_env;
SG_Projects;Class, <<Machine>>;enter description here;pdProjectManagement;
SGW!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity,browseEvents,viewEvent};Interface, <<generated_interface>>;enter description here;pdEventManagement;
Event;Class, <<LexicalDomain>>;enter description here;SG_env;
SGW!{addProject,editProject,deleteProject,browseProjects,viewProject};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
executive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
EditEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
addEvent;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
editExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
getProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
SGWebPage;Class, <<ConnectionDomain>>;enter description here;pdEventManagement;
editingSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
browseCurrentExecutive;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
deletingProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
Vid!{videos};Interface, <<generated_interface>>;enter description here;SG_env;
Project;Class, <<LexicalDomain>>;enter description here;SG_env;
R12;Class, <<Requirement>>;Visitor can browse projects.;Requirements;
R05;Class, <<Requirement>>;Admin can edit an activity.;Requirements;
SG!{sendMessage,getMessages,getMessage,replyingMessage};Interface, <<generated_interface>>;enter description here;SG_env;
deleteActivity;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdEventManagement;
editingVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
editVideo;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
contactFeedback;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SGP!{addingProject,editingProject,deletingProject,getProjects,getProject}P!{projects,project};Association, <<connection>>;enter description here;pdProjectManagement;
browseProjects;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
showEventsView;Phenomenon, <<Phenomenon>>;enter description here;pdEventManagement;
videos;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
(R09-R13);Class, <<Requirement>>;enter description here;Requirements;
events;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
